GIS_ID,OBJECTID_1,OBJECTID,BLDG_NUM,SCHOOLNAME,SHAPE_LENG,Shape_Length,Shape_Area
dcps_450,1,1,450,Anacostia,18445.288332,18636.058636,13777872.752885
dcps_455,2,2,455,Coolidge,18836.008193,18295.93042,10283658.363411
dcps_457,3,3,457,Eastern,22250.01073,22207.43561,10679326.541826
dcps_459,4,4,459,Roosevelt,17549.509216,17462.02667,13594552.754661
-1000043,5,5,460,Spingarn,21034.958452,21036.446019,15472261.111266
dcps_426,6,6,464,"Woodson, H.D.",6484.476337,6462.911517,2705986.851091
dcps_463,7,7,463,"Wilson, W.",45459.897319,46124.034323,64746939.68035
dcps_452,8,8,452,Ballou,26057.715383,26741.251841,23873411.912688
dcps_454,9,9,454,Cardozo,15728.892929,15577.734105,9570905.859704
dcps_467,10,10,467,Dunbar,17638.090028,17519.342269,12751790.536427
