GIS_ID,OBJECTID_1,OBJECTID,BLDG_NUM,SCHOOLNAME,PRINCIPAL,ADDRESS,CAPACITY,Z003_ENROL,Z004_ENROL,SHAPE_LENG,SHAPE_Length,SHAPE_Area
dcps_416,1,10,416,Johnson,Gill, ,0,0,0,9791.737008,9758.348363,4300273.385577
-1000020,2,11,352,"Harris, PR",Hinton, ,0,0,0,7355.131054,6947.232919,1360031.55258
-1000039,3,12,425,Ron Brown,Johnson, ,0,0,0,9859.704702,9840.864313,4904610.478737
dcps_421,4,13,406,Kelly Miller, , ,0,0,0,10934.289115,10880.639913,4141646.706691
-1000030,5,14,348,Ron Brown or Merritt,Slade, ,0,0,0,8921.916375,8899.243019,2713832.338182
dcps_405,6,1,405,Deal,Dacoba, ,0,0,0,25880.265125,25793.613418,29598874.093867
dcps_3241,7,2,324,Takoma,Grant, ,0,0,0,6892.790162,7060.5613,1841813.3578
dcps_264,8,4,401,Backus,Powell, ,0,0,0,17282.799036,17187.782573,14023888.898485
dcps_409,9,19,409,Francis,Fletcher, ,0,0,0,24045.874814,19307.477661,11338068.742323
dcps_415,10,15,415,Jefferson,Holmes, ,0,0,0,16235.373894,18529.289563,14103892.342161
dcps_413,11,16,413,Hart,Bennett, ,0,0,0,27685.009097,29004.839894,19407572.806768
dcps_404,12,17,404,Browne,Clarke, ,0,0,0,19674.009227,19655.042025,10521343.512145
-1000029,13,18,402,Marshall,Wilson, ,0,0,0,11075.076183,11161.494896,4418636.780684
-1000040,14,20,432,Shaw,Thomas, ,0,0,0,12896.115951,13261.153272,3760185.501421
-1000001,15,21,410,Garnet-Patterson,Ustilton, ,0,0,0,9700.023538,9743.734956,2507781.79107
dcps_475,16,22,419,Lincoln,Blazquez, ,0,0,0,10412.032949,10452.28351,2717054.114042
dcps_407,17,23,414,Hine,Rosenthal, ,0,0,0,7514.43522,7550.54739,3057816.091044
dcps_427,18,24,427,Sousa,Lipscomb, ,0,0,0,12824.833388,12795.42973,6658551.126112
dcps_417,19,25,417,Kramer,Hopkins, ,0,0,0,10073.563325,10206.608384,4718507.057883
dcps_246,20,5,411,Hardy,Pope, ,0,0,0,19145.016115,19656.100191,17211850.159901
dcps_332,21,6,430,"Terrell, R. H.",Nicol, ,0,0,0,6471.186252,6443.599036,1894837.888119
dcps_428,22,7,428,Stuart-Hobson,Smith, ,0,0,0,4740.463098,4812.70271,1332351.024954
dcps_407,23,8,407,Eliot,Roach, ,0,0,0,8480.136638,8533.084765,2762440.750211
-1000041,24,9,355,Winston,Jones, ,0,0,0,6799.176277,6942.869819,1793644.077987
dcps_338,25,5,338,Whittier,,,,,,6241.012245,4094.831134,773751.423485
-1000042,26,20,293,Raymond,,,,,,5687.67753,9728.977751,3050795.281624
dcps_327,27,9,327,Truesdell,,,,,,4226.598754,3873.53018,622649.97063
dcps_336,28,11,336,West,,,,,,6134.009309,2202.440542,135557.65783
dcps_213,29,4,213,Brightwood,,,,,,8418.020891,7371.255042,1447830.996709
-1000018,30,5,338,Rudolph,,,,,,6241.012245,2549.84954,336053.912787
dcps_970,31,35,235,McKinley,,,,,,5347.124234,5148.024264,1204444.348719
